"SampleID","AssumedPop","Cluster1","Cluster2","Cluster3"
"z0006796",7,0.342,0.341,0.317
"z0006798",7,0.357,0.331,0.312
"z0006799",7,0.339,0.344,0.317
"z0006800",7,0.384,0.314,0.303
"z0006801",7,0.34,0.324,0.336
"z0006802",7,0.349,0.326,0.325
"z0006803",7,0.344,0.338,0.318
"z0006805",9,0.367,0.313,0.32
"z0012480",7,0.353,0.332,0.315
"z0012481",7,0.345,0.331,0.325
"z0012482",7,0.338,0.322,0.34
"z0012483",7,0.35,0.336,0.314
"z0012484",7,0.35,0.338,0.313
"z0012485",7,0.355,0.326,0.32
"z0012486",7,0.357,0.331,0.312
"z0012488",7,0.361,0.324,0.315
"z0012489",7,0.361,0.327,0.312
"z0012490",7,0.341,0.336,0.323
"z0012491",7,0.365,0.325,0.31
"z0012492",7,0.356,0.338,0.306
"z0012493",7,0.349,0.331,0.32
"z0012494",7,0.339,0.345,0.316
"z0012497",7,0.352,0.326,0.322
"z0012499",7,0.353,0.327,0.32
"z0012500",7,0.356,0.324,0.32
"z0012503",7,0.346,0.331,0.323
"z0012504",7,0.365,0.317,0.318
"z0012505",7,0.345,0.338,0.318
"z0012509",7,0.359,0.33,0.311
"z0012511",7,0.336,0.342,0.322
"z0012515",7,0.345,0.333,0.323
"z0012517",7,0.347,0.332,0.322
"z0012519",7,0.351,0.327,0.321
"z0012520",7,0.363,0.318,0.319
"z0012521",7,0.369,0.326,0.305
"z0012522",7,0.351,0.337,0.311
"z0012523",7,0.344,0.345,0.31
"z0012524",7,0.35,0.329,0.321
"z0012525",7,0.341,0.328,0.332
"z0012527",7,0.34,0.332,0.328
"z0012528",7,0.352,0.33,0.319
"z0016882",8,0.353,0.325,0.322
"z0016883",8,0.338,0.341,0.321
"z0016884",8,0.352,0.334,0.314
"z0016885",8,0.345,0.337,0.318
"z0016886",8,0.352,0.334,0.314
"z0016887",8,0.345,0.333,0.322
"z0016888",8,0.358,0.321,0.322
"z0026450",9,0.357,0.327,0.316
"z0026451",9,0.347,0.329,0.324
"z0026452",9,0.347,0.33,0.323
"z0026456",9,0.336,0.335,0.329
"z0026457",9,0.339,0.342,0.319
"z0026458",9,0.349,0.339,0.312
"z0032021",9,0.362,0.324,0.314
"z0032022",9,0.347,0.335,0.318
"z0032023",9,0.335,0.34,0.325
"z0032024",9,0.347,0.329,0.325
"z0032031",9,0.354,0.332,0.314
"z0035352",5,0.359,0.333,0.307
"z0037412",1,0.947,0.004,0.004
"z0037417",1,0.949,0.003,0.003
"z0037418",1,0.951,0.003,0.003
"z0037419",1,0.95,0.004,0.004
"z0037422",1,0.948,0.004,0.003
"z0037463",1,0.949,0.004,0.003
"z0037464",1,0.946,0.004,0.005
"z0037466",1,0.947,0.005,0.003
"z0037467",1,0.952,0.003,0.003
"z0037468",1,0.954,0.003,0.003
"z0037471",1,0.953,0.003,0.003
"z0040942",9,0.348,0.332,0.32
"z0061457",7,0.348,0.332,0.32
"z0061464",7,0.343,0.34,0.317
"z0061467",7,0.345,0.329,0.326
"z0061468",7,0.349,0.33,0.321
"z0062622",1,0.943,0.004,0.005
"z0062627",1,0.946,0.005,0.004
"z0062630",1,0.951,0.003,0.004
"z0062634",1,0.951,0.003,0.004
"z0062636",1,0.952,0.004,0.003
"z0062680",1,0.947,0.004,0.004
"z0062681",1,0.953,0.003,0.003
"z0062687",2,0.003,0.952,0.003
"z0062737",2,0.004,0.949,0.003
"z0062742",2,0.004,0.945,0.004
"z0062743",2,0.004,0.946,0.004
"z0062752",2,0.003,0.954,0.003
"z0062761",2,0.004,0.951,0.003
"z0062766",2,0.003,0.952,0.003
"z0062787",2,0.003,0.952,0.004
"z0076691",1,0.949,0.003,0.004
"z0076693",1,0.952,0.003,0.003
"z0076695",1,0.953,0.003,0.004
"z0076697",1,0.95,0.003,0.003
"z0076699",1,0.949,0.004,0.004
"z0076701",1,0.948,0.003,0.004
"z0076703",1,0.944,0.004,0.004
"z0076705",1,0.95,0.004,0.003
"z0076707",1,0.948,0.003,0.004
"z0076709",1,0.948,0.004,0.004
"z0076711",1,0.954,0.003,0.003
"z0076713",1,0.948,0.004,0.004
"z0076715",1,0.947,0.003,0.005
"z0102589",1,0.953,0.003,0.003
"z0102605",1,0.949,0.004,0.004
"z0102610",1,0.951,0.004,0.003
"z0102616",1,0.957,0.003,0.003
"z0102682",1,0.949,0.004,0.003
"z0117088",6,0.354,0.322,0.324
"z0117094",6,0.356,0.337,0.308
"z0117103",6,0.364,0.316,0.32
"z0134055",1,0.951,0.003,0.003
"z0134059",1,0.952,0.003,0.003
"z0134061",1,0.956,0.003,0.003
"z0134066",1,0.948,0.003,0.004
"z0134070",1,0.954,0.003,0.003
"z0134074",1,0.936,0.008,0.006
"z0134087",1,0.946,0.004,0.006
"z0134095",1,0.95,0.004,0.003
"z0134097",1,0.954,0.003,0.003
"z0134098",1,0.949,0.003,0.004
"z0134101",1,0.951,0.003,0.003
"z0134108",1,0.947,0.004,0.004
"z0134109",1,0.951,0.003,0.003
"z0134111",1,0.944,0.004,0.004
"z0134112",1,0.957,0.003,0.002
"z0134113",1,0.946,0.003,0.005
"z0178009",5,0.348,0.337,0.315
"z0178011",5,0.356,0.33,0.314
"z0178014",5,0.367,0.334,0.299
"z0207730",5,0.342,0.338,0.32
"z0207745",5,0.345,0.337,0.318
"z0210588",5,0.363,0.325,0.313
"z0216904",4,0.347,0.329,0.324
"z0216906",4,0.361,0.321,0.318
"z0216907",4,0.357,0.322,0.321
"z0216913",4,0.348,0.33,0.322
"z0216918",4,0.35,0.328,0.322
"z0216926",3,0.003,0.004,0.949
"z0216927",3,0.004,0.004,0.948
"z0216928",3,0.005,0.003,0.948
"z0216930",3,0.004,0.003,0.951
"z0216931",7,0.35,0.321,0.33
